crop,week_end_date,mandi_price,weekly_change_percent,price_trend,revenue_potential
wheat,2026-03-21,2145,2.3,increasing,high
wheat,2026-03-14,2095,-0.5,stable,high
wheat,2026-03-07,2106,1.8,increasing,high
mustard,2026-03-21,5680,3.1,increasing,high
mustard,2026-03-14,5510,-1.2,stable,high
mustard,2026-03-07,5576,2.1,increasing,high
chickpea,2026-03-21,4920,1.9,increasing,high
chickpea,2026-03-14,4825,0.3,stable,medium
chickpea,2026-03-07,4811,-0.8,decreasing,medium
lentil,2026-03-21,6150,2.6,increasing,high
lentil,2026-03-14,5995,-0.2,stable,high
lentil,2026-03-07,6007,1.5,increasing,high
barley,2026-03-21,1580,-1.2,decreasing,medium
barley,2026-03-14,1599,0.4,stable,medium
barley,2026-03-07,1592,0.8,stable,medium
cotton,2026-03-21,5850,4.2,increasing,high
cotton,2026-03-14,5615,-0.3,stable,high
cotton,2026-03-07,5632,2.8,increasing,high
