tehsil,state,district,latitude,longitude
Bharatpur_T023,Rajasthan,Bharatpur,27.2211,77.4949
Kanpur_Nagar_T023,Uttar Pradesh,Kanpur Nagar,26.4499,80.3319
Patiala_T104,Punjab,Patiala,30.3398,76.3869
Patna_T087,Bihar,Patna,25.5941,85.1376
Karnal_T036,Haryana,Karnal,29.1200,77.1020
Bikaner_T149,Rajasthan,Bikaner,28.0229,71.8315
Ahmedabad_T128,Gujarat,Ahmedabad,23.0225,72.5714
Ahmedabad_T042,Gujarat,Ahmedabad,23.0225,72.5714
Amravati_T044,Maharashtra,Amravati,20.9517,77.7597
Sirsa_T082,Haryana,Sirsa,29.5380,75.0289
Sirsa_T002,Haryana,Sirsa,29.5380,75.0289
Ujjain_T091,Madhya Pradesh,Ujjain,23.1815,75.7733
Ujjain_T094,Madhya Pradesh,Ujjain,23.1815,75.7733
Jaipur_T007,Rajasthan,Jaipur,26.9124,75.7873
Jaipur_T121,Rajasthan,Jaipur,26.9124,75.7873
Nagpur,Maharashtra,Nagpur,21.1458,79.0882
Akola_T021,Maharashtra,Akola,20.7126,77.0063
Varanasi_T001,Uttar Pradesh,Varanasi,25.3356,82.9860
Varanasi_T008,Uttar Pradesh,Varanasi,25.3356,82.9860
Meerut_T018,Uttar Pradesh,Meerut,28.9845,77.7064
Ludhiana_T063,Punjab,Ludhiana,30.9010,75.8573
