date,state,district,tehsil,temperature_avg,humidity_avg,rainfall_mm,wind_speed,leaf_wetness_hours,soil_moisture,forecast_3d_rain,forecast_7d_humidity
2026-03-18,Rajasthan,Bharatpur,Bharatpur_T023,22.5,72,0,8.2,4.5,62,0.2,71
2026-03-19,Rajasthan,Bharatpur,Bharatpur_T023,23.1,75,2.1,9.1,5.8,65,0.5,74
2026-03-20,Rajasthan,Bharatpur,Bharatpur_T023,21.8,88,8.5,12.3,8.2,72,2.8,82
2026-03-21,Rajasthan,Bharatpur,Bharatpur_T023,20.2,92,15.3,14.5,9.6,75,3.2,85
2026-03-18,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,24.3,68,0,7.5,3.2,58,0.1,68
2026-03-19,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,25.1,71,1.5,8.2,4.1,60,0.3,70
2026-03-20,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,23.5,85,6.8,11.2,7.3,68,2.5,78
2026-03-21,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,22.1,90,12.1,13.1,9.1,72,3.1,84
2026-03-18,Punjab,Patiala,Patiala_T104,18.9,65,0,6.8,2.8,55,0,65
2026-03-19,Punjab,Patiala,Patiala_T104,19.5,68,0.8,7.3,3.5,57,0.2,67
2026-03-20,Punjab,Patiala,Patiala_T104,18.2,82,5.2,10.5,6.8,65,1.8,75
2026-03-21,Punjab,Patiala,Patiala_T104,17.1,87,10.1,12.8,8.9,70,2.6,82
2026-03-18,Bihar,Patna,Patna_T087,26.2,70,0,7.2,4.1,60,0.1,70
2026-03-19,Bihar,Patna,Patna_T087,27.1,73,2.3,8.5,5.2,62,0.4,72
2026-03-20,Bihar,Patna,Patna_T087,25.8,89,9.2,13.1,8.5,71,2.9,84
2026-03-21,Bihar,Patna,Patna_T087,24.5,94,16.8,15.2,10.1,76,3.5,88
2026-03-18,Haryana,Karnal,Karnal_T036,21.5,66,0,7.1,3.1,56,0,66
2026-03-19,Haryana,Karnal,Karnal_T036,22.3,69,1.2,7.8,4.2,59,0.25,68
2026-03-20,Haryana,Karnal,Karnal_T036,20.8,84,7.1,11.8,7.6,67,2.4,76
2026-03-21,Haryana,Karnal,Karnal_T036,19.6,89,13.5,13.9,9.3,71,3.3,83
